127.0.0.1 - - [10/Jun/2024:18:22:08 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:22:10 +0900] "GET /Library/index.jsp HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:22:10 +0900] "GET /Library/css./style.css HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:22:10 +0900] "GET /Library/css/style.css HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:22:10 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:29:46 +0900] "GET /Library/index.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:29:46 +0900] "GET /Library/css./style.css HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:40:31 +0900] "GET /Library/index.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:40:31 +0900] "GET /Library/css./style.css HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:40:53 +0900] "GET /Library/index.jsp HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:40:53 +0900] "GET /Library/css./style.css HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Jun/2024:18:40:55 +0900] "GET /Library/Register.jsp HTTP/1.1" 200 2170
